field,nonempty,total_rows,coverage_pct,unique_nonempty,predominant_type,avg_len_nonempty,example_value,KEEP_candidate
citationFull_s,10,10,100.0,10,scalar,410.3,"Yann Bugeaud, Lingmin Liao. Uniform Diophantine approximation related to $b$-ary and $\beta$-expansions. <i>Ergodic Theory and Dynamical Systems</i>, 2016, 36 (1), pp.1--22. <a target=""_blank"" href=""https://dx.doi.org/10.1017/etds.2014.66"">&#x27E8;10.1017/etds.2014.66&#x27E9;</a>. <a target=""_blank"" href=""https://hal.science/hal-00975111v3"">&#x27E8;hal-00975111v3&#x27E9;</a>",YES
citationRef_s,10,10,100.0,10,scalar,167.7,"<i>Ergodic Theory and Dynamical Systems</i>, 2016, 36 (1), pp.1--22. <a target=""_blank"" href=""https://dx.doi.org/10.1017/etds.2014.66"">&#x27E8;10.1017/etds.2014.66&#x27E9;</a>",YES
city_s,10,10,100.0,5,scalar,4.8,,YES
classification_s,10,10,100.0,2,scalar,5.3,"[""37B10, 11J04, 11A63, 11K55""]",YES
collCategoryCodeName_fs,10,10,100.0,10,list,1119.6,"[""INSTITUTION_JoinSep_CNRS_FacetSep_CNRS - Centre national de la recherche scientifique"", ""UNIV_JoinSep_UNIV-MLV_FacetSep_Université de Marne la Vallée"", ""LABO_JoinSep_IRMA_FacetSep_Institut de Recherche Mathématique Avancée"", ""INSTITUTION_JoinSep_INSMI_FacetSep_CNRS-INSMI - INstitut des Sciences Mathématiques et de leurs Interactions"", ""UNIV_JoinSep_UNIV-STRASBG_FacetSep_Université de Strasbourg"", ""LABO_JoinSep_LAMA_UMR8050_FacetSep_Laboratoire d'Analyse et de Mathématiques Appliquées"", ""AUTRE_JoinSep_CV_UNIV-MLV_FacetSep_CV des membres de l'Université de Marne-la-vallée"", ""SET_JoinSep_CV_LAMA_UMR8050_FacetSep_CV des membres de LAMA UMR 8050"", ""SET_JoinSep_LAMA_AHM_FacetSep_Analyse harmonique et multifractale"", ""UNIV_JoinSep_UPEC_FacetSep_Université Paris-Est Créteil Val-de-Marne"", ""AUTRE_JoinSep_CV_UPEC_FacetSep_CV des membres de l'UPEC"", ""THEME_JoinSep_TDS-MACS_FacetSep_Réseau de recherche en Théorie des Systèmes Distribués, Modélisation, Analyse et Contrôle des Systèmes"", ""PRES_JoinSep_SITE-ALSACE_FacetSep_Archive ouverte du site Alsace"", ""AUTRE_JoinSep_IRMAAGA_FacetSep_Arithmétique et géométrie algébrique"", ""INSTITUTION_JoinSep_UNIV-EIFFEL_FacetSep_Université Gustave Eiffel"", ""UNIV_JoinSep_UPEM-UNIVEIFFEL_FacetSep_Université Paris-Est Marne-la-Vallée"", ""INSTITUTION_JoinSep_UNIVOAK_FacetSep_UNIVOAK""]",YES
collCategory_s,10,10,100.0,10,list,126.4,"[""INSTITUTION"", ""UNIV"", ""LABO"", ""INSTITUTION"", ""UNIV"", ""LABO"", ""AUTRE"", ""SET"", ""SET"", ""UNIV"", ""AUTRE"", ""THEME"", ""PRES"", ""AUTRE"", ""INSTITUTION"", ""UNIV"", ""INSTITUTION""]",YES
collCodeName_fs,10,10,100.0,10,list,879.2,"[""CNRS_FacetSep_CNRS - Centre national de la recherche scientifique"", ""UNIV-MLV_FacetSep_Université de Marne la Vallée"", ""IRMA_FacetSep_Institut de Recherche Mathématique Avancée"", ""INSMI_FacetSep_CNRS-INSMI - INstitut des Sciences Mathématiques et de leurs Interactions"", ""UNIV-STRASBG_FacetSep_Université de Strasbourg"", ""LAMA_UMR8050_FacetSep_Laboratoire d'Analyse et de Mathématiques Appliquées"", ""CV_UNIV-MLV_FacetSep_CV des membres de l'Université de Marne-la-vallée"", ""CV_LAMA_UMR8050_FacetSep_CV des membres de LAMA UMR 8050"", ""LAMA_AHM_FacetSep_Analyse harmonique et multifractale"", ""UPEC_FacetSep_Université Paris-Est Créteil Val-de-Marne"", ""CV_UPEC_FacetSep_CV des membres de l'UPEC"", ""TDS-MACS_FacetSep_Réseau de recherche en Théorie des Systèmes Distribués, Modélisation, Analyse et Contrôle des Systèmes"", ""SITE-ALSACE_FacetSep_Archive ouverte du site Alsace"", ""IRMAAGA_FacetSep_Arithmétique et géométrie algébrique"", ""UNIV-EIFFEL_FacetSep_Université Gustave Eiffel"", ""UPEM-UNIVEIFFEL_FacetSep_Université Paris-Est Marne-la-Vallée"", ""UNIVOAK_FacetSep_UNIVOAK""]",YES
collCode_s,10,10,100.0,10,list,161.7,"[""CNRS"", ""UNIV-MLV"", ""IRMA"", ""INSMI"", ""UNIV-STRASBG"", ""LAMA_UMR8050"", ""CV_UNIV-MLV"", ""CV_LAMA_UMR8050"", ""LAMA_AHM"", ""UPEC"", ""CV_UPEC"", ""TDS-MACS"", ""SITE-ALSACE"", ""IRMAAGA"", ""UNIV-EIFFEL"", ""UPEM-UNIVEIFFEL"", ""UNIVOAK""]",YES
collIdName_fs,10,10,100.0,10,list,807.6,"[""264_FacetSep_CNRS - Centre national de la recherche scientifique"", ""311_FacetSep_Université de Marne la Vallée"", ""544_FacetSep_Institut de Recherche Mathématique Avancée"", ""1298_FacetSep_CNRS-INSMI - INstitut des Sciences Mathématiques et de leurs Interactions"", ""1314_FacetSep_Université de Strasbourg"", ""1901_FacetSep_Laboratoire d'Analyse et de Mathématiques Appliquées"", ""2162_FacetSep_CV des membres de l'Université de Marne-la-vallée"", ""2249_FacetSep_CV des membres de LAMA UMR 8050"", ""2298_FacetSep_Analyse harmonique et multifractale"", ""2451_FacetSep_Université Paris-Est Créteil Val-de-Marne"", ""2706_FacetSep_CV des membres de l'UPEC"", ""4468_FacetSep_Réseau de recherche en Théorie des Systèmes Distribués, Modélisation, Analyse et Contrôle des Systèmes"", ""6324_FacetSep_Archive ouverte du site Alsace"", ""8134_FacetSep_Arithmétique et géométrie algébrique"", ""9516_FacetSep_Université Gustave Eiffel"", ""9527_FacetSep_Université Paris-Est Marne-la-Vallée"", ""12694_FacetSep_UNIVOAK""]",YES
collId_i,10,10,100.0,10,list,90.1,"[264, 311, 544, 1298, 1314, 1901, 2162, 2249, 2298, 2451, 2706, 4468, 6324, 8134, 9516, 9527, 12694]",YES
